stop_id,stop_lat,stop_lon,string_id
11327,32.76341841,-117.1175616,11327
10581,32.76322081,-117.1108487,10581
11342,32.76338323,-117.1112049,11342
10140,32.76280518,-117.1377011,10140
10900,32.76296473,-117.1369187,10900
10224,32.76317276,-117.1043163,10224
11354,32.76331745,-117.1044576,11354
10169,32.76283621,-117.1283719,10169
10577,32.76323842,-117.1138351,10577
11335,32.76340212,-117.1143995,11335
10507,32.76241147,-117.1435069,10507
11266,32.76256161,-117.1440289,11266
10947,32.76343392,-117.119263,10947
10540,32.7628182,-117.1335895,10540
10594,32.76319826,-117.1069807,10594
10973,32.76334272,-117.1071546,10973
10518,32.76280365,-117.139822,10518
11271,32.76294882,-117.1402724,11271
11291,32.76297665,-117.1329568,11291
10549,32.76324203,-117.1265738,10549
10933,32.76348527,-117.1263811,10933
99087,32.71029635,-117.0637806,99087
88933,32.68129156,-117.0607294,88933
50092,32.6790786,-117.0684063,50092
88934,32.68004863,-117.0653231,88934
13410,32.76615486,-117.0221565,13410
10326,32.7659153,-117.0195877,10326
40383,32.76611671,-117.0176995,40383
10324,32.76596372,-117.0215172,10324
75064,32.77730903,-117.0567069,75064
75065,32.77742199,-117.0569181,75065
75084,32.71638588,-117.1688111,75084
75085,32.7166269,-117.1688139,75085
97004,32.72000249,-117.171816,97004
59009,32.69368921,-117.0692895,59009
40244,32.71787302,-117.1598874,40244
75018,32.69812698,-117.146665,75018
75019,32.69788609,-117.1464559,75019
11763,32.72316573,-117.0789116,11763
13109,32.72316717,-117.078697,13109
12190,32.72389346,-117.0781868,12190
12916,32.72400572,-117.07784,12916
12195,32.72763262,-117.0755459,12195
12555,32.72789201,-117.0753922,12555
11764,32.72555551,-117.075845,11764
12919,32.72551533,-117.0756886,12919
10167,32.72122117,-117.1295114,10167
11300,32.72137939,-117.1296788,11300
10489,32.71569692,-117.1500495,10489
10863,32.71584694,-117.1502071,10863
10840,32.71585513,-117.1636705,10840
13314,32.71564979,-117.1639331,13314
10119,32.71572127,-117.1459499,10119
10873,32.71587176,-117.1456654,10873
10504,32.71573459,-117.143736,10504
10878,32.71587945,-117.143848,10878
10134,32.71575334,-117.1407646,10134
13313,32.71577614,-117.1627938,13313
10094,32.71561383,-117.1621074,10094
10841,32.71579056,-117.1608803,10841
10097,32.71566019,-117.160297,10097
13312,32.71576782,-117.160051,13312
99237,32.71596284,-117.0572265,99237
99238,32.7158316,-117.0575407,99238
10099,32.71566351,-117.1594745,10099
13088,32.74266336,-117.0451193,13088
40918,32.74238868,-117.0459461,40918
13311,32.71578215,-117.157323,13311
13315,32.71565037,-117.1566298,13315
40130,32.74255179,-117.0337779,40130
40364,32.74281513,-117.0347233,40364
10836,32.71580373,-117.1672626,10836
10090,32.71559826,-117.1649521,10090
10724,32.74267388,-117.0270762,10724
11463,32.74289609,-117.027579,11463
10454,32.71562174,-117.1688181,10454
10833,32.71585722,-117.1689376,10833
99239,32.71583871,-117.053506,99239
11458,32.74283905,-117.0313868,11458
10701,32.7424446,-117.0423822,10701
11441,32.74269114,-117.0433666,11441
10828,32.71584424,-117.1717823,10828
99026,32.71559841,-117.1704727,99026
10109,32.71570092,-117.1540128,10109
99342,32.71583248,-117.1540629,99342
40981,32.74407958,-117.0216281,40981
10086,32.7155689,-117.1666847,10086
99258,32.74485626,-117.020051,99258
99259,32.74507808,-117.0201798,99259
10839,32.71582801,-117.1659175,10839
40021,32.743241,-117.0234289,40021
40380,32.74351409,-117.023272,40380
10705,32.74268804,-117.0387061,10705
10708,32.74249558,-117.0382849,10708
10720,32.69910321,-117.030388,10720
99233,32.71324653,-117.0623709,99233
99235,32.7132456,-117.0583297,99235
99234,32.71311932,-117.0608189,99234
10138,32.71680461,-117.1382912,10138
11280,32.71695476,-117.1384325,11280
10532,32.71681943,-117.1358497,10532
10904,32.71697047,-117.1358674,10904
10148,32.71683051,-117.1343054,10148
11288,32.71698302,-117.1341184,11288
10166,32.71680897,-117.1304005,10166
99260,32.778567,-117.1189016,99260
99263,32.77077838,-117.1319842,99263
99262,32.77382673,-117.12461,99262
13009,32.77769352,-117.1180438,13009
10210,32.77785771,-117.1154068,10210
13079,32.77809237,-117.1050044,13079
10615,32.77668827,-117.1005725,10615
10556,32.77468311,-117.12361,10556
13043,32.7779437,-117.107417,13043
10194,32.77667102,-117.1203925,10194
13158,32.77105959,-117.0717334,13158
11808,32.71870598,-117.0259415,11808
12975,32.71896011,-117.0257389,12975
12246,32.71632811,-117.0255727,12246
12584,32.71513046,-117.0250257,12584
60327,32.70111876,-117.1443907,60327
75090,32.71628902,-117.1541729,75090
75091,32.71623012,-117.1542221,75091
75086,32.71671,-117.1624709,75086
75087,32.71677298,-117.162429,75087
11781,32.75747581,-117.0664576,11781
12937,32.75804089,-117.0662091,12937
12205,32.77616075,-117.0680167,12205
12562,32.77558868,-117.0676601,12562
12209,32.76500628,-117.066934,12209
12934,32.76554354,-117.0667373,12934
12952,32.74571257,-117.058478,12952
11791,32.74466111,-117.0549299,11791
12962,32.74466098,-117.054107,12962
99250,32.7439908,-117.0531936,99250
99650,32.74433013,-117.0533375,99650
12203,32.7684996,-117.0685962,12203
10262,32.76195317,-117.0668634,10262
12207,32.76064058,-117.0670985,12207
12564,32.76063425,-117.0668089,12564
99040,32.76227535,-117.0667721,99040
12963,32.74160006,-117.0501635,12963
12929,32.77223524,-117.0697729,12929
12206,32.76658652,-117.0673716,12206
12563,32.76661551,-117.0671441,12563
12931,32.76877504,-117.0685077,12931
99097,32.77291614,-117.0698833,99097
11778,32.76212247,-117.0670309,11778
10685,32.74546708,-117.0581928,10685
12215,32.75247601,-117.0644207,12215
12943,32.75324258,-117.0644603,12943
12176,32.76135727,-117.0824132,12176
12171,32.76401049,-117.0834988,12171
12170,32.7663783,-117.0837066,12170
12896,32.76694425,-117.0837412,12896
11755,32.76000436,-117.0808781,11755
12904,32.76011275,-117.0807002,12904
60771,32.76928628,-117.0857283,60771
75096,32.70898098,-117.1634631,75096
75097,32.70881988,-117.16332,75097
75080,32.72149387,-117.169898,75080
75081,32.72136294,-117.169985,75081
75109,32.71671555,-117.1660236,75109
99344,32.6780342,-117.0571458,99344
60810,32.67537274,-117.0639751,60810
60811,32.67611831,-117.0613626,60811
50116,32.66282914,-117.0973429,50116
50117,32.66123108,-117.0967167,50117
50149,32.66131996,-117.0965811,50149
50118,32.65862696,-117.095704,50118
50080,32.6584253,-117.0954519,50080
50139,32.67145404,-117.1005194,50139
50194,32.67124997,-117.1006182,50194
50110,32.68020793,-117.1041072,50110
50145,32.68034354,-117.103972,50145
50147,32.67767625,-117.1029615,50147
50095,32.67714062,-117.1029141,50095
99289,32.67514905,-117.1019622,99289
99290,32.67538897,-117.102244,99290
12972,32.69602093,-117.0297139,12972
99114,32.69295657,-117.0732352,99114
50071,32.69095699,-117.0804159,50071
50081,32.68952575,-117.0855963,50081
