OBJECTID,stop_UID,stop_agenc,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_t,parent_sta,wheelchair,intersecti,stop_place
1046,MTS_11712,MTS,11712,Midvale Dr & Gateway Dr,32.72652426,-117.109453,11712,0,,1,N-S/B,
1038,MTS_11697,MTS,11697,30th St & Redwood St,32.73753465,-117.1293587,11697,0,,1,N-S/B,30red
1048,MTS_11714,MTS,11714,National City Bl & W 3rd St,32.68025551,-117.1087323,11714,0,,1,N-S/B,
1047,MTS_11713,MTS,11713,Ralene St & Midvale Dr,32.72858686,-117.109278,11713,0,,2,N-S/B,
1035,MTS_11693,MTS,11693,30th St & University Av,32.74863258,-117.1302078,11693,0,,1,N-S/B,30uni
1034,MTS_11692,MTS,11692,30th St & El Cajon Bl,32.75555853,-117.1302477,11692,0,,1,N-S/B,
1037,MTS_11696,MTS,11696,30th St & Fir St,32.72563542,-117.130261,11696,0,,1,N-S/B,
1036,MTS_11694,MTS,11694,30th St & C St,32.71710835,-117.1296589,11694,0,,1,N-S/B,c_30st
4320,MTS_99492,MTS,99492,Sweetwater Rd & N 2nd St,32.66120536,-117.0843662,99492,0,,1,N-W/B,
4319,MTS_99491,MTS,99491,30th St & L Av,32.66028741,-117.0867912,99491,0,,1,F-E/B,
4322,MTS_99494,MTS,99494,Plaza Bl & 2932,32.6805598,-117.0775003,99494,0,,2,M-Street-E/B,
4321,MTS_99493,MTS,99493,Sweetwater Rd & Town & Country,32.66152956,-117.0811298,99493,0,,1,N-E/B,
4316,MTS_99484,MTS,99484,Highland Av & 21st St,32.66652214,-117.0942817,99484,0,,1,F-S/B,
4315,MTS_99483,MTS,99483,Highland Av & 21st St,32.66719762,-117.0943759,99483,0,,1,F-N/B,
4318,MTS_99486,MTS,99486,8th St & Highland Av,32.6781033,-117.0992284,99486,0,,1,F-W/B,hig8th
4317,MTS_99485,MTS,99485,Highland Av & 28th St,32.66101784,-117.0921365,99485,0,,2,F-S/B,
4286,MTS_99420,MTS,99420,National City Bl & 30th St,32.65729597,-117.0998045,99420,0,,1,N-S/B,
4283,MTS_99417,MTS,99417,National City Bl & W 33rd St,32.65469582,-117.0988571,99417,0,,0,N-S/B,
4314,MTS_99481,MTS,99481,40th St & University Av,32.74954555,-117.1094792,99481,0,i15uns,0,F-S/B,i15uns
4295,MTS_99441,MTS,99441,5th Av Pier,32.70453869,-117.1615507,99441,0,,2,,5thlan
4255,MTS_99379,MTS,99379,Hotel Circle N & Camino De La Reina,32.7617366,-117.1673082,99379,0,,2,M-Street-W/B,
4254,MTS_99378,MTS,99378,Jamacha Rd & Britain St,32.71378194,-117.0352972,99378,0,,1,F-W/B,
4281,MTS_99414,MTS,99414,Main St & 28th St,32.69272299,-117.1332055,99414,0,,1,F-E/B,main28
4259,MTS_99384,MTS,99384,Fairmount Av & Landis St,32.74619743,-117.1008181,99384,0,,1,F-N/B,
4371,MTS_,MTS,,Encanto/62nd St Station,32.71011487,-117.06321,,1,,,,
4370,MTS_,MTS,,5th Avenue Station,32.71676205,-117.159703,,1,,,,
4373,MTS_,MTS,,70th St. Trolley Station,32.7722103,-117.0420253,,1,,,,
4372,MTS_,MTS,,70th Street Station,32.77224895,-117.0424701,,1,,,,
4367,MTS_,MTS,,25th & Commercial St Station,32.70530703,-117.1402,,1,,,,
4366,MTS_,MTS,,24th Street Station,32.66185407,-117.108017,,1,,,,
4369,MTS_,MTS,,47th Street Station,32.7084541,-117.0949142,,1,,,,
4368,MTS_,MTS,,32nd & Commercial St Station,32.70591999,-117.1245601,,1,,,,
4363,MTS_,MTS,,11th Ave & Broadway,32.71626794,-117.1546493,,1,,,,
4345,MTS_99791,MTS,99791,India St & C St,32.71699254,-117.1681756,99791,0,amptro,1,F-N/B,amptro
4365,MTS_,MTS,,24th Street Transit Center,32.66184386,-117.1079831,,1,,,,
4364,MTS_,MTS,,12th & Imperial Station,32.70600195,-117.1533779,,1,,,,
4340,MTS_99589,MTS,99589,Santa Fe Depot Transit Center,32.71705839,-117.169298,99589,0,,0,F-S/B,ampket
4323,MTS_99495,MTS,99495,54th St & Westover Pl,32.72491114,-117.083789,99495,0,,0,F-N/B,
4344,MTS_99650,MTS,99650,College Av & College Grove Dr,32.74433013,-117.0533375,99650,0,,0,,colcol
4343,MTS_99598,MTS,99598,Sweetwater Rd & Harness St,32.72142477,-117.0139677,99598,0,,1,F-N/B,
4215,MTS_99322,MTS,99322,Woodman St & Benson Av,32.70524493,-117.0553599,99322,0,,2,N-S/B,
4214,MTS_99321,MTS,99321,Harbison Av & Plaza Bl,32.68137214,-117.0739883,99321,0,,1,F-S/B,
4217,MTS_99324,MTS,99324,Woodman St & Plaza Bl,32.69668705,-117.0518459,99324,0,,0,F-S/B,
4216,MTS_99323,MTS,99323,Woodman St & Benson Av,32.70493892,-117.0550808,99323,0,,2,N-N/B,
4211,MTS_99318,MTS,99318,Paradise Valley Rd & Elkelton Pl,32.70208459,-117.0129355,99318,0,,1,N-E/B,
4210,MTS_99317,MTS,99317,Paradise Valley Rd & Elkelton Bl,32.70292823,-117.0125137,99317,0,,1,N-W/B,
4213,MTS_99320,MTS,99320,Paradise Valley Rd & Worthington St,32.69705953,-117.019263,99320,0,,1,M-Street-E/B,
4212,MTS_99319,MTS,99319,Paradise Valley Rd & Worthington St,32.69730961,-117.0192684,99319,0,,1,M-Street-W/B,
4207,MTS_99313,MTS,99313,Division St & Palm Av,32.6872719,-117.0936809,99313,0,,1,N-W/B,
4206,MTS_99311,MTS,99311,Division St & N R Av,32.68777031,-117.091131,99311,0,,1,N-E/B,
4209,MTS_99316,MTS,99316,18th St & L Av,32.67070397,-117.0908642,99316,0,,1,F-E/B,
4208,MTS_99315,MTS,99315,18th St & Highland Av,32.66937711,-117.0955894,99315,0,,1,N-E/B,high18
4203,MTS_99306,MTS,99306,E 4th St & Highland Av,32.68156334,-117.1004707,99306,0,,2,F-W/B,
4202,MTS_99305,MTS,99305,4th St & K Av,32.68258034,-117.0968697,99305,0,,2,N-W/B,
4205,MTS_99310,MTS,99310,Division St & Palm Av,32.68712753,-117.093491,99310,0,,1,F-E/B,
4204,MTS_99308,MTS,99308,18th St & National City Bl,32.66712191,-117.104169,99308,0,,1,F-W/B,nat18t
4246,MTS_99367,MTS,99367,11th Av & B St,32.71769488,-117.154586,99367,0,,1,N-N/B,11thb
4241,MTS_99359,MTS,99359,Sweetwater Rd & Spring Vista Wy,32.717492,-117.0139174,99359,0,,2,N-S/B,
4250,MTS_99373,MTS,99373,Washington St & Trolley Tracks,32.74153561,-117.1837134,99373,0,,1,N-W/B,waspac
4248,MTS_99371,MTS,99371,Imperial Av & 49th St,32.70402725,-117.0895795,99371,0,,1,N-E/B,
4234,MTS_99345,MTS,99345,Ocean View Bl & Dewey St,32.70419077,-117.1384209,99345,0,,1,F-E/B,
4233,MTS_99344,MTS,99344,Cumberland St & Calle Tres Lomas,32.6780342,-117.0571458,99344,0,,2,N-E/B,
4240,MTS_99358,MTS,99358,Sweetwater Rd & Spring Vista Wy,32.71773823,-117.0136562,99358,0,,1,F-N/B,
4238,MTS_99355,MTS,99355,Fairmount Av & Poplar St,32.73788684,-117.1010891,99355,0,,1,F-S/B,
