node_index,is_stop_only,pos_x,pos_y,census_tract,node_in_fleetpy,is_demand_node
93646,False,6317437.001,1846258.0,14200,512,0
93648,False,6317259.0,1846257.0,14200,513,0
93657,False,6318927.999,1846240.0,142,514,1
93661,False,6316868.0,1846224.0,14200,515,1
93662,False,6325076.509,1846221.393,14002,516,1
93671,False,6315877.0,1846209.0,3003,517,1
93672,False,6322922.0,1846209.0,14001,518,1
93675,False,6315825.0,1846208.0,14200,519,1
93678,False,6315505.0,1846205.0,3003,520,1
93684,False,6315272.0,1846202.0,3003,521,1
93685,False,6319467.0,1846202.0,142,522,1
93686,False,6325075.955,1846200.118,14002,523,1
93688,False,6315016.0,1846198.0,3003,524,1
93690,False,6314759.0,1846197.0,3003,525,1
93691,False,6314496.0,1846196.0,3003,526,1
93694,False,6314047.0,1846194.0,3003,527,1
93696,False,6320048.0,1846193.0,14200,528,1
93700,False,6313691.999,1846191.0,3003,529,1
93702,False,6313036.0,1846187.0,3003,530,1
93704,False,6311875.0,1846185.0,3003,531,1
93705,False,6312391.0,1846185.0,3003,532,1
93718,False,6322339.0,1846163.0,14001,533,1
93719,False,6322553.0,1846163.0,14001,534,1
93720,False,6322719.0,1846162.0,14001,535,1
93761,False,6315391.0,1846099.0,3003,536,1
93767,False,6326579.532,1846085.809,14002,537,0
93775,False,6318549.94,1846071.542,142,538,0
93777,False,6318130.439,1846069.203,14200,539,1
93790,False,6322550.0,1846057.0,14001,540,0
93791,False,6324791.851,1846056.749,14002,541,1
93795,False,6321092.0,1846046.001,14101,542,1
93796,False,6320933.0,1846045.0,14101,543,1
93799,False,6310754.0,1846039.0,3003,544,0
93806,False,6316900.435,1846028.483,14200,545,1
93831,False,6326154.0,1846011.0,14002,546,0
93832,False,6316304.0,1846010.0,14200,547,0
93848,False,6325074.044,1845989.233,14002,548,1
93856,False,6316604.045,1845985.612,14200,549,0
93857,False,6311418.0,1845982.0,3003,550,0
93909,False,6321609.0,1845918.0,14101,551,1
93910,False,6321645.0,1845918.0,14101,552,1
93911,False,6321209.0,1845917.0,14101,553,1
93913,False,6322009.0,1845916.0,14101,554,1
93915,False,6322149.001,1845915.0,14101,555,1
93916,False,6322242.001,1845915.0,14101,556,1
93917,False,6322329.0,1845914.0,14101,557,1
93918,False,6323063.0,1845914.0,14001,558,1
93919,False,6325279.999,1845914.0,14002,559,1
93923,False,6322716.0,1845912.0,14101,560,1
93926,False,6323489.0,1845911.0,14002,561,1
93929,False,6317517.0,1845907.0,14200,562,0
93931,False,6317636.0,1845905.0,14200,563,0
93932,False,6323788.0,1845905.0,14002,564,1
93934,False,6324428.0,1845901.0,14002,565,1
93935,False,6316327.529,1845900.888,14200,566,0
93936,False,6318381.0,1845900.0,14200,567,1
93937,False,6324642.0,1845899.0,14002,568,1
93945,False,6315869.012,1845890.91,3003,569,0
93958,False,6322718.0,1845871.0,14101,570,1
93968,False,6310089.0,1845846.0,2712,571,0
93970,False,6311097.0,1845843.0,3003,572,0
93973,False,6325122.001,1845840.0,14002,573,1
