depart_hr,second,rq_time,start (MGRA),end (MGRA),mode
14,1081,51481,1297,1293,DRIVEALONEFREE
14,2801,53201,1293,1297,DRIVEALONEFREE
17,3020,64220,1295,9297,SHARED2FREE
18,383,65183,1295,1293,WALK
18,3316,68116,1293,1295,WALK
7,1388,26588,1295,9412,WALK_TRANSIT
12,373,43573,1291,9414,TNC_SHARED
13,1766,48566,9414,9414,WALK_TRANSIT
15,1498,55498,9414,1291,TNC_SINGLE
14,2890,53290,1291,9394,TNC_SINGLE
14,1454,51854,9394,1291,TNC_SINGLE
16,263,57863,1291,9251,DRIVEALONEFREE
16,1210,58810,9251,1291,SHARED2FREE
19,2935,71335,9333,9253,TAXI
10,1451,37451,1290,9421,WALK_TRANSIT
8,1667,30467,1291,9428,SHARED2FREE
14,1895,52295,9428,1288,WALK
23,2918,85718,1288,1291,SHARED3FREE
10,3452,39452,1291,9352,BIKE
16,3554,61154,9352,1291,BIKE
10,183,36183,1291,9400,SHARED2FREE
10,2904,38904,9400,1291,SHARED3FREE
8,591,29391,1296,9396,SHARED3FREE
8,1363,30163,9396,9296,SHARED3FREE
8,2483,31283,9296,1296,SHARED3FREE
10,3141,39141,1288,1296,SHARED3FREE
15,822,54822,1296,9398,WALK_TRANSIT
15,1788,55788,9398,1296,WALK_TRANSIT
15,3458,57458,1296,9351,SHARED3FREE
16,1695,59295,9351,1296,DRIVEALONEFREE
14,880,51280,1288,1296,SHARED2FREE
11,1478,41078,1293,9409,WALK
11,2612,42212,9409,1293,WALK
23,2657,85457,9321,1293,WALK
18,1368,66168,948,1288,WALK
18,798,65598,1288,1293,DRIVEALONEFREE
7,936,26136,1291,9402,SHARED2FREE
17,2532,63732,1293,1295,SHARED3FREE
11,3590,43190,1295,9414,DRIVEALONEFREE
16,3250,60850,9414,1295,DRIVEALONEFREE
17,578,61778,1295,9414,DRIVEALONEFREE
17,3012,64212,9414,1295,TNC_SHARED
20,3366,75366,1288,9404,SHARED2FREE
12,926,44126,9238,1296,DRIVEALONEFREE
7,174,25374,1296,9284,WALK_TRANSIT
7,1715,26915,9284,1296,WALK_TRANSIT
11,136,39736,1288,9372,DRIVEALONEFREE
8,157,28957,1295,1293,WALK
9,3095,35495,1293,1293,WALK
9,3386,35786,1293,1293,WALK
9,180,32580,1293,9321,WALK
9,2862,35262,9321,9417,WALK
9,3537,35937,9417,1295,WALK
12,2644,45844,1291,9417,TNC_SINGLE
13,1525,48325,9414,9394,WALK_TRANSIT
9,2579,34979,1297,1293,SHARED2FREE
18,2216,67016,1293,1297,TAXI
10,3029,39029,9421,9414,TAXI
10,3488,39488,1296,9394,WALK_TRANSIT
15,2643,56643,9394,1296,WALK_TRANSIT
