node_index,is_stop_only,pos_x,pos_y,actual_nodes
668,False,6306328.0,1861462.0,81040
669,False,6311744.0,1861458.0,81042
670,False,6315110.0,1861457.0,81043
671,False,6312202.0,1861454.0,81044
672,False,6303955.0,1861451.0,81048
673,False,6295440.0,1861448.0,81049
674,False,6324192.001,1861448.0,81050
675,False,6318872.0,1861444.0,81051
676,False,6290939.0,1861440.0,81052
677,False,6323134.0,1861438.0,81054
678,False,6304299.001,1861436.0,81055
679,False,6314341.0,1861434.0,81057
680,False,6329314.0,1861433.0,81059
681,False,6298412.001,1861431.0,81061
682,False,6290839.0,1861416.001,81071
683,False,6290801.0,1861408.0,81074
684,False,6326637.0,1861407.0,81076
685,False,6307691.0,1861406.0,81078
686,False,6297708.0,1861405.0,81080
687,False,6290762.0,1861401.0,81083
688,False,6294231.0,1861398.0,81084
689,False,6329689.317,1861391.807,81092
690,False,6290726.0,1861391.0,81093
691,False,6295467.0,1861385.001,81096
692,False,6309018.0,1861378.0,81098
693,False,6309454.399,1861374.069,81103
694,False,6303588.999,1861373.0,81105
695,False,6330571.504,1861372.456,81106
696,False,6328384.0,1861366.0,81109
697,False,6327068.0,1861361.0,81110
698,False,6306687.0,1861360.0,81111
699,False,6329681.0,1861338.0,81120
700,False,6330011.0,1861337.0,81121
701,False,6301351.0,1861336.0,81122
702,False,6323897.0,1861331.0,81124
703,False,6314205.0,1861314.0,81130
704,False,6290485.0,1861311.0,81131
705,False,6326207.001,1861311.0,81132
706,False,6328107.0,1861311.0,81133
707,False,6319777.0,1861310.0,81134
708,False,6324673.0,1861310.0,81135
709,False,6314338.0,1861306.0,81137
710,False,6312565.0,1861304.0,81139
711,False,6305989.0,1861297.0,81143
712,False,6327067.0,1861297.0,81144
713,False,6314652.999,1861289.0,81148
714,False,6323714.0,1861289.0,81149
715,False,6323763.0,1861289.0,81150
716,False,6294050.0,1861275.0,81158
717,False,6322367.596,1861272.038,81160
718,False,6326062.0,1861272.0,81161
719,False,6288463.0,1861270.0,81162
720,False,6320919.0,1861269.0,81163
721,False,6299952.0,1861266.0,81165
722,False,6307003.0,1861265.0,81167
723,False,6320295.374,1861262.0,81171
724,False,6288646.0,1861255.0,81173
725,False,6299706.0,1861253.0,81174
726,False,6305618.0,1861253.0,81175
727,False,6305134.0,1861252.0,81176
